title,brand,price,list_price,discount_pct,price_currency,stars,reviews_count,breadCrumbs,description
"Acer Nitro V 16S AI Gaming Laptop | NVIDIA GeForce RTX 5060 GPU | AMD Ryzen 7 260 Processor | 16"" WUXGA IPS 180Hz Display | 32GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | ANV16S-41-R2AJ",acer,1199.99,1299.99,7.69,$,4.2,119,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"Slim, Portable Gaming Laptop: This AI-powered laptop redefines gaming on the go. With a perfect balance of performance and portability, it offers solid, reliable power for seamless gameplay. Its sleek, slim design makes it easy to carry and game anywhere, ensuring you never miss a beat, no matter where you are. The Acer Nitro V 16S AI is built for gaming on the move with an AMD Ryzen 7 260 processor and NVIDIA GeForce RTX 5060 Laptop GPU with 572 AI TOPS. Featuring a slim chassis, 16"" WUXGA 180Hz display, and quad-intake cooling. (NH.QZYAA.001)"
"acer Predator Helios Neo PHN16-73-95NT Gaming Laptop | 16"" QHD+ OLED 240Hz | Intel Core Ultra 9 275HX | NVIDIA RTX 5070 Ti | 64GB DDR5 | 2TB SSD | WiFi 6E | Backlit RGB | HDMI 2.1 | Thunderbolt 4",acer,1999.99,2499.99,20.0,$,3.4,5,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,
"Lenovo V15 Business Laptop 2026 Edition, AMD Ryzen 3 7000-Series(Beat i7-1065G7), 15.6"" FHD Display, 16GB DDR5 RAM, 256GB NVMe SSD, Wi-Fi 6, RJ-45, Dolby Audio, Windows 11 Pro, WOWPC USB, no Mouse",Lenovo,999.99,1049.99,4.76,$,4.8,13,Electronics > Computers & Accessories > Computers & Tablets,"Reliable Everyday Performance with Recovery Support Designed for work, study, and daily computing, this laptop pairs the efficient AMD Ryzen 3 processor with fast DDR5 memory and SSD storage. A WOWPC Recovery USB is included to make system repairs, troubleshooting, and OS recovery quick and stress-free. Product Specifications Operating System Windows 11 Pro Processor AMD Ryzen 3 7320U Up to 4.1 GHz boost speed 4 cores, 8 threads Integrated Radeon graphics chipset Memory 16 GB DDR5 high speed RAM Storage Up to 1TB PCIe NVMe M.2 solid state drive Display 15.6 inch Full HD (1920 x 1080) Anti glare panel 250 nits brightness Graphics Integrated AMD Radeon Graphics Ports and Connectivity 1 x USB C with Power Delivery and DisplayPort 2 x USB A 3.2 1 x HDMI 1 x RJ 45 Ethernet 1 x Headphone and microphone combo jack Wireless Wi Fi 6 (802.11ax) Bluetooth 5.2 Camera and Audio HD webcam with built in privacy shutter Stereo speakers with Dolby Audio Keyboard and Input Full size keyboard with numeric keypad Security Firmware TPM 2.0 for hardware level data protection Battery and Power 38 Wh battery with Rapid Charge support 65 W AC power adapter Dimensions and Weight 14.1 x 9.3 x 0.78 inches Starting at approximately 3.6 pounds (1.63 kg) Design Business Black finish Included in the Box Laptop 65 W charger WOWPC Recovery USB"
"ASUS ROG Flow Z13 (2025) Gaming Laptop, 13” ROG Nebula 16:10 2.5K 180Hz/3ms, AMD Ryzen AI MAX+ 395, RDNA 3.5 Graphics, 128GB LPDDR5X 8000MHz, 1TB PCIe Gen 4 SSD, Wi-Fi 7, Win 11 Pro, GZ302EA-XS99",ASUS,2799.99,,0.0,$,4.2,68,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"Powered by the AMD Ryzen AI MAX+ 395 processor, 16 Zen 5 CPU cores, and 128GB LPDDR5X quad-channel unified memory, the 2025 ROG Flow Z13 combines portability and power in a sleek 13-inch chassis. Its 2.5K ROG Nebula Display, featuring a 180Hz refresh rate, 100% DCI-P3 color coverage, and touchscreen capability, delivers stunning visuals for gaming and creative tasks. With a 170° adjustable kickstand, the new ROG Flow Z13 effortlessly transforms into a tablet for gaming and creativity on the go."
"Dell 16 Laptop DC16256-16.0-inch 16:10 2K Touchscreen Display, AMD Ryzen AI 7 350 Processor, AMD Radeon Graphics, 32GB Memory, 1TB SSD, Windows 11 Home, Copilot+, Onsite Service, Platinum Silver",Dell,859.58,,0.0,$,4.5,87,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"Enhance your personal and professional productivity with a 16-inch laptop with a sleek, durable aluminum design."
"Lenovo Legion LOQ – AI-Powered Gaming Laptop - Intel® Core™ i7-13650HX - 15.6"" FHD IPS Display – 144Hz – NVIDIA® GeForce RTX™ 5050 – 16GB Memory – 1TB Storage – NVIDIA G-Sync - Luna Grey",Lenovo,1095.49,,0.0,$,4.4,88,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"Step into true gaming with the Lenovo Legion LOQ, built for gamers ready to experience what they’ve been missing. Powered by 14th Gen Intel® Core™ processors and next-gen NVIDIA® GeForce RTX™ graphics, it delivers stunning visuals with ray tracing and AI-enhanced DLSS, making every game and app run like a dream. Stay cool and quiet with Hyperchamber Cooling Technology, and enjoy ultra-responsive gameplay on the gaming keyboard with soft-landing switches in a clean white backlight. This true gaming display brings your games and favorite streams to life with high resolution and refresh rates on a 15.6"" screen. Offering 100% sRGB color accuracy, it’s ideal for coursework or rendering complex worlds. NVIDIA G-Sync ensures smooth, tear-free frame rates, so you can enjoy every moment with clarity and speed. The chassis is military-spec tested for rugged reliability, making the Lenovo LOQ your on-the-go gateway to gaming with friends. Stay powered, stay moving, stay winning."
"Microsoft Surface Pro 2-in-1 Laptop/Tablet (2024), Windows 11 Copilot+ PC, 13"" Touchscreen OLED Display, Snapdragon X Elite (12 Core), 32GB RAM, 1TB Storage, Platinum",Microsoft,1600.99,2099.99,23.76,$,4.4,809,Electronics > Computers & Accessories > Computers & Tablets > Laptops > 2 in 1 Laptops,"* Some Copilot+ PCs require download of free updates to run Copilot+ PC experiences, available starting late 2024 – 2025. See aka.ms/copilotpluspcs ** Pre-release screen shown; subject to change. *** Availability of Copilot+ PC features varies by device and market. [1] Based on Cinebench 2024 Multi-threaded conducted by Microsoft in April 2024 comparing pre-release build of Surface Laptop 13.8"" and 15” with Snapdragon X Elite running pre-release Windows 11 26100 and Apple MacBook Air 13.6"" and 15” with M3 running macOS 14 Sonoma. [2] Optimized for select languages (English, Chinese (simplified), French, German, Japanese, and Spanish. Content-based and storage limitations apply. Recall is coming soon through a post-launch Windows Update. See https://aka.ms/copilotpluspcs. [3] Colors available on selected models only. Available colors, sizes, finishes, and processors may vary by store, market, and configuration. [4] Surface Laptop, excluding power supply, contains a minimum of 25% recycled content. Based on validation performed by Underwriter Laboratories, Inc. using Environmental Claim Validation Procedure for Recycled Content, UL 2809-2, Second Edition, November 7, 2023.  [5] Currently supports translation for video and audio subtitles into English from 40+ languages. See https://aka.ms/copilotpluspcs. [6] Battery life varies significantly based on device configuration, usage, network and feature configuration, signal strength, settings and other factors. See aka.ms/SurfaceBatteryPerformance for details. [7] 13.8"" Surface Laptop comes with 39 W Surface power supply. Fast charging (from 5% to 80%) is supported with minimum 65W Surface power supply or USB-C® PD charger, sold separately. Testing was conducted at Microsoft in February 2024, using pre-production devices, software, and minimum of 65W USB-C® charger under controlled conditions. The device was powered on to the desktop screen with default display brightness settings. Actual charge time will vary based on operating conditions. Measured at typical office ambient temperature of 23C.   [8] Enclosure includes A Cover, C Bucket and D Cover. 100% recycled aluminum alloy in A Cover and C Bucket. 100% recycled rare earth metals in magnets. Based on validation performed by Underwriter Laboratories, Inc. using Environmental Claim Validation Procedure (ECVP) for Recycled Content, UL 2809-2, Second Edition, November 7, 2023.  [9] Enclosure includes A Cover, C Bucket and D Cover. Based on validation performed by Underwriter Laboratories, Inc. using Environmental Claim Validation Procedure for Recycled Content, UL 2809-2, Second Edition, November 7, 2023. [10] Available colors may vary by market. [11] USB-C® port does not charge your Surface device or any device that requires more than 15W [12] Requires device with USB-C® USB4®/Thunderbolt™ 4 port and when supported by device and display. *Screens simulated; subject to change *Recall: Optimized for select languages (English, Chinese (simplified), French, German, Japanese, and Spanish.) Content-based and storage limitations apply. See [https://aka.ms/copilotpluspcs]. *Cocreator: Optimized for English text prompts See [https://aka.ms/copilotpluspcs]"
"Dell 14 Plus Laptop DB14250-14-inch 16:10 2.5K (2560x1600) Display, Intel Core Ultra 7-258V, 32GB LPDDR5X RAM, 1TB SSD, Intel Arc Graphics, Backlit Copilot Key Keyboard, Windows 11 Home",Dell,894.25,,0.0,$,4.2,83,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"Productivity looks better than ever. Stylish 14-inch laptop with on-device Copilot+ featuring Intel Core Ultra processors, stunning performance that powers the newest AI experiences and incredible battery life for on-the-go multitasking."
"LG 45GX900A-B 45-Inch Ultragear WQHD (3440 x 1440) OLED Curved Gaming Monitor, 240Hz, 0.03ms, NVIDIA G-Sync, VESA DisplayHDR True Black 400, HDMI 2.1, DisplayPort, USB Type-C PD 65W, Black",LG,1195.96,1699.99,29.65,$,4.1,414,Electronics > Computers & Accessories > Monitors,"Experience lightning-quick speed with up to a 240Hz refresh rate¹ and 0.03ms response time on a massive 45"" WQHD curved OLED monitor.UltraGear Fact: The 45-inch 21:9 45 Inch UltraGear OLED monitor delivers more screen area than a 49-inch 32:9 aspect ratio screen.The sweeping, steep 800R curve surrounds you in the action. And with the 240Hz refresh rate, and 0.03ms response time, the action is fast, the play seamless and precise. Dive into UltraGear OLED’s immaculate visuals with up to 98.5% of DCI-P3 color coverage and a 1,500,000:1 contrast ratio for stunning blacks and vibrant colors.Adaptive sync technologies FreeSync Premium Pro and NVIDIA G-SYNC compatibility ensure tear-free, stutter-free performance, whether you're on PC or next-gen consoles.Plus, the UltraGear's 2-year OLED limited warranty and OLED Care features give you peace of mind, keeping your UltraGear monitor in top shape. Designed for gamers, the virtually borderless design complements any gaming setup, with height, tilt, and pivot adjustments for optimal comfort. The RBG backlighting creates the mood that’ll upgrade any battlestation.¹Graphics card that supports DisplayPort 1.4 or HDMI 2.1 are required to achieve up to 240Hz refresh rate support. Graphics card sold separately.²Software installation required. Visit Support on LG.com to download."
"MSI Vector 16 HX AI 400 Gaming Laptop, Intel Ultra 9-275HX, 16 GB DDR5 RAM, 2 TB PCIe SSD, 16"" WQXGA (2560x1600) 240Hz Display, Nvidia G-Force RTX 5080, RGB Backlit Keyboard, W11 Pro, Cosmo Gray",msi,2459.0,,0.0,$,3.6,9,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"MSI Vector 16 HX AI 400 Gaming Laptop, Intel Ultra 9-275HX, 16"" WQXGA (2560x1600) 240Hz Display, Nvidia G-Force RTX 5080, RGB Backlit Keyboard, Cosmo Gray"
"Laptop, ΑΜD Ryzen 7 5700U(8C/16T, Up to 4.3GHz), 16GB RAM 512GB NVMe SSD, Laptop Computer, 15.6-in IPS Laptop, WiFi 6, Numeric Keypad, HDMI Type-C USB3.2 Office Laptops Home Laptops",KAIGERR,999.97,,0.0,$,4.0,14,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,
"Apple 2025 MacBook Air 15-inch Laptop with M4 chip: Built for Apple Intelligence, 15.3-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",Apple,1049.0,1199.0,12.51,$,4.8,2354,,
"acer Nitro V Gaming Laptop | Intel Core i9-13900H Processor | NVIDIA GeForce RTX 5060 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 16GB DDR4 | 1TB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-98KV",acer,1099.99,1199.99,8.33,$,4.0,33,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"Live For Victory: Elevate your gaming adventure with the Acer Nitro V 15, your gateway to an adrenaline-charged journey. This laptop is the perfect blend of power and style, pushing the boundaries of what’s possible on a laptop. Powered by an Intel Core i9-13900H processor and NVIDIA GeForce RTX 5060 Laptop GPU and showcasing a crystal-clear 15.6” Full HD display with a 165Hz IPS panel - you can see why the Nitro V 15 is a knockout hit for gamers of every level. (NH.U1NAA.001)"
"Lenovo 2025 Copilot+ PC ThinkPad P14s Gen 6 Mobile Workstation with AMD Ryzen AI 9 HX PRO 370 Processor, 64GB DDR5 Memory, 1TB SSD, 14” WUXGA 500 nits 100% sRGB Non-Touch Display, WiFi 7, Win 11 Pro",Lenovo,1535.0,,0.0,$,4.6,22,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"Processor: AMD Ryzen AI 9 HX PRO 370 Processor (2.00 GHz up to 5.10 GHz)  Memory: 64 GB DDR5-5600MT/s (SODIMM)(2 x 32 GB)  Storage: 1 TB SSD M.2 2280 PCIe Gen4 Performance TLC Opal  Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 500 nits, 60Hz, Low Power  Camera: 5MP RGB+IR with Microphone and Privacy Shutter  Battery: 4 Cell Li-Polymer 57 WhRechargeable Li-ion Battery, supports Rapid Charge (charge up to 80% in 1hr) with 65W AC adapter  Connectivity: MediaTek Wi-Fi 7 MT7925 2x2 BE & Bluetooth 5.4  Graphics: Integrated AMD Radeon 890M  Keyboard: Backlit, Black, 6-row, spill-resistant, multimedia Fn keys, Copilot key - English (US) QWERTY  Fingerprint Reader  Docking Options: Various docking solutions supported via USB-C  Ports:  1x USB-A (USB 5Gbps / USB 3.2 Gen 1)  1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On  2x USB-C (Thunderbolt 4 / USB4 40Gbps), with PD 3.0 and DisplayPort 1.4  1x HDMI 2.1, up to 4K/60Hz  1x Headphone / microphone combo jack (3.5mm)  1x Ethernet (RJ-45)  1x Security keyhole  Dimensions: 12.44 x 8.81 x 0.43 inches  Weight: Approximately 4 lbs  WWAN：None  Color: Black  Warranty：1 Year Courier or Carry-in  Operating System: Windows 11 Pro 64"
"acer Nitro V Gaming Laptop | Intel Core 9 Processor 270H | NVIDIA GeForce RTX 5070 Laptop GPU | 16"" WUXGA IPS 180Hz Display | 32GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV16-72-933F",acer,1499.99,,0.0,$,3.9,22,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"Live For Victory: Elevate your gaming adventure with the Acer Nitro V 16, your gateway to an adrenaline-charged journey. This laptop is the perfect blend of power and style, pushing the boundaries of what’s possible on a laptop. Powered by the Intel Core 9 processor 270H and NVIDIA GeForce RTX 5070 Laptop GPU, the Acer Nitro V 16 unleashes exceptional speed and cinematic visuals for smooth, immersive gameplay and streaming. (NH.U2FAA.003)"
"HP 17 Laptop, 17.3"" HD+ Touchscreen Display, 12th Gen Intel Core i7-1255U, 64GB RAM, 2TB SSD, Webcam, HDMI, SuperSpeed USB Ports, Wi-Fi 6, Windows 11 Home, Silver",HP,1149.0,,0.0,$,4.2,1018,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,
"Alienware 16 Area-51 Gaming Laptop AA16250-16"" WQXGA 240Hz Display, Intel Core Ultra 9-275HX, 32GB DDR5 RAM, 1TB SSD, NVIDIA GeForce RTX 5070Ti, Windows 11 Home, Onsite Service - Liquid Teal",Alienware,2688.0,,0.0,$,4.2,84,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"The new performance precedent. Alienware Area-51 gaming laptops are engineered for maximum power, packed with innovation, and encased in other-worldly design. By fusing an advanced thermal strategy, increasing airflow and elevating power with Intel Core Ultra HX processors and NVIDIA GeForce RTX 5070Ti Laptop GPUs, we're bringing alien-class performance to the most passionate gamers."
"ASUS ROG Strix SCAR 18 (2025) Gaming Laptop, 18” ROG Nebula HDR 16:10 2.5K 240Hz/3ms, NVIDIA® GeForce RTX™ 5080, Intel® Core™ Ultra 9 275HX, 32GB DDR5-5600, 2TB PCIe Gen 4 SSD, Wi-Fi 7, Windows 11 Pro",ASUS,3399.0,,0.0,$,4.4,260,Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops,"Experience unparalleled gaming with the ROG Strix SCAR 18. Powered by the latest Intel® Core™ Ultra 9 275HX processor and NVIDIA® GeForce RTX 5080 Laptop GPU, it delivers stunning performance. The advanced ROG Intelligent Cooling system, with a vapor chamber, sandwiched heatsink, Tri-fan design, and Conductonaut Extreme liquid metal, ensures peak performance under intense workloads. Enjoy breathtaking visuals on the 2.5K ROG Nebula HDR Display with a 240Hz refresh rate and 100% DCI-P3 color accuracy, enhanced by a dual ACR anti-reflective coating. With tool-less access for easy upgrades and 3 months of PC Game Pass, this laptop is designed to elevate your game."
"msi MPG 321URX QD-OLED, 32"" 4K UHD Quantum Dot OLED Gaming Monitor, 3840 x 2160, 0.03ms, 240Hz, True Black HDR 400, 90W USB Type C, HDMI, DP Port",msi,849.99,1049.99,19.05,$,4.5,601,Electronics > Computers & Accessories > Monitors,"Equipped with a 31.5"""" UHD (3840 x 2160) QD-OLED panel with a high 240Hz refresh rate & an ultra-low 0.03ms response time, the MPG 321URX QD-OLED provides a competitive edge & outstanding image quality. The MPG 321URX QD-OLED features Quantum Dot technology, an elite colour gamut (1.07 billion colours, 99% DCI-P3), VESA DisplayHDR True Black 400 dynamic contrast & brightness, Gaming Intelligence AI, Mystic Light ambient illumination, and a 4-way adjustable stand."
